Année,Date,Durée,Lieu,Labo/Structure,Code Thème,Thématique,Formateurice,Public,Nb de personnes formées,Précisions éventuelles
2020,44158,02:00:00,Visio,IM2NP,HAL,HAL,IG et JC,EC,10,formation individuelle à la demande de la directrice du labo
2020,44159,03:00:00,Visio,Media Centre Ouest ,HAL,Promotion de l'AO auprès des chercheurs ,IG,IST hors AMU,8,formation à la demande de Media Centre Ouest 
2020,44160,00:30:00,Visio,LPS,HAL,HAL,IG,EC,1,formation individuelle de Sara Jaubert suite formation DRH découvrir la SO
2020,44161,03:00:00,Visio,Media Centre Ouest ,HAL,Promotion de l'AO auprès des chercheurs ,IG,IST hors AMU,8,formation à la demande de Media Centre Ouest 
2020,44168,02:00:00,visio ,MMSH,SO,SO et thèses,CSD et IG,D et IST,122,Séminaire MMSH : La question des thèses dans les bibliothèques de recherche : entre littératur grise et données de la recherche
2020,44181,0.083333333333333329,Visio,doctorants,SO,Enjeux de la publication ,IG,D,3,formations en groupe pour les doctorants 
2020,44183,09:09:59,visio,gestionnaires collection,HAL,HAL,"MD,JC et IG",Gestionnaires,13,total formations en 2020 pour les gestionnaires de collection HAL AMU
2021,44210,02:00:00,visio ,Doctorants,SO,Enjeux de la publication ,IG,D,13,formation organisée en visio en lien avec le Collège doctoral
2021,44218,01:00:00,Visio,Doctorants,DR,SO DR,CSD,D,11,"session 1, module 1 formation doctorale DR"
2021,44221,02:00:00,visio ,Doctorants,SO,Enjeux de la publication ,IG,D,14,formation organisée en visio en lien avec le Collège doctoral
2021,44221,00:30:00,visio ,MADIREL,HAL,HAL. Niveau 1,JC  ,Gestionnaires,1,formation gestionnaire (rajout MH 07/01/2022)
2021,44224,01:30:00,visio ,Enssib,SO,SO et publications ,IG,IST hors AMU,19,formation à la demande de l'ENSSIB pour les DBC
2021,44229,00:45:00,visio ,Enssib,SO,SO et publications ,IG,IST hors AMU,1,formation approfondie suite formation du 28/01 à la demande de l'ENSSIB 
2021,44230,00:30:00,visio ,Doctorants,SO,Enjeux de la publication ,IG,D,1,formation organisée en visio en lien avec le Collège doctoral
2021,44230,00:30:00,visio ,CERGAM,HAL,HAL QJ,IG ,EC,1,formation individuelle en visio
2021,44231,01:00:00,visio ,IEP,SO,Enjeux de la publication ,IG ,IST hors AMU,1,formation individuelle en visio
2021,44237,00:30:00,visio ,IST hors AMU,JU,questions juridiques HAL,IG,IST hors AMU,1,formation individuelle en visio
2021,44224,01:00:00,visio ,Doctorants,DR,SO DR,CSD,D,11,"session 2, module 1 formation doctorale DR"
2021,44237,01:00:00,visio ,Doctorants,DR,SO DR,CSD,D,2,module 1 formation doctorale DR session rattrapage
2021,44238,02:40:00,visio ,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,17,formation aux lauréats ANR 
2021,44243,02:30:00,visio ,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,13,formation aux lauréats ANR
2021,15/02/2021,02:00:00,visio ,IST hors AMU,HAL,HAL QJ,IG,IST hors AMU,4,formation en visio
2021,15/02/2021,00:30:00,visio ,LPED,HAL,HAL,IG,EC,1,formation individuelle
2021,15/02/2021,00:15:00,visio ,LPED,HAL,HAL,IG,EC,1,formation individuelle
2021,16/02/2021,00:15:00,visio ,LPED,HAL,HAL,IG,EC,1,formation individuelle
2021,16/02/2021,01:00:00,visio ,LESA,HAL,HAL,IG,D,1,formation individuelle
2021,18/02/2021,02:15:00,visio ,LPED,HAL,HAL ORCID,IG et Carine Dou Goarin,EC,13,formation en binôme avec Carine Dou Goarin
2021,23/02/2021,00:30:00,visio ,Unité de Neurobiologie des canaux ioniques et de la Synapse,HAL,HAL,JC,EC,1,
2021,23/02/2021,01:10:00,visio ,LPED,HAL,HAL et IdHal,IG,EC,1,formation individuelle
2021,44258,01:00:00,visio ,IST hors AMU,HAL,HAL questions juridiques,IG,IST hors AMU,1,formation individuele pour collègue de l'Université de Lille
2021,44258,00:45:00,visio ,MMSH,JU,questions juridiques open access,IG,EC,1,formation individuelle 
2021,44258,01:00:00,visio ,LPED,HAL,IDHAL,MD ,EC,1,"formation individuelle, IG en observatrice"
2021,44259,00:45:00,visio ,LAMES,HAL,HAL,IG,EC,1,formation individuelle
2021,44253,02:00:00,visio ,Doctorants,DR,DR,CSD,D,11,module 2 formation doctorale DR
2021,44259,02:00:00,visio ,Doctorants,DR,DR,CSD,D,13,module 2 formation doctorale DR
2021,44264,02:30:00,visio ,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,17,formation aux lauréats ANR
2021,44267,02:00:00,visio ,Doctorants,DR,"PGD, DMP OPIDoR",CSD,D,10,module 3 formation doctorale DR
2021,44273,02:00:00,visio ,Doctorants,DR,"PGD, DMP OPIDoR",CSD,D,13,module 3 formation doctorale DR
2021,44281,02:30:00,visio ,ANR,DR,"PGD, DMP OPIDoR",CSD,EC,8,formation aux lauréats ANR
2021,44263,01:00:00,visio ,Doctorants,HAL,Déposer dans HAL ,IG,D,14,formation pour le collège doctoral - session du matin
2021,44263,01:00:00,visio ,Doctorants,HAL,Déposer dans HAL ,IG,D,10,formation pour le collège doctoral - session de l'aprem
2021,44264,01:15:00,visio ,EC et IST AMU,HAL,RDV de la DRV - bonus recherche,IG et Carine Dou Goarin,EC et IST,93,formation dans le cadre du RDV de la DRV spécial bonus recherche. (Précision IG : 50 EC et 43 IST. Rajout MH 07/01/2022)
2021,44266,00:45:00,visio ,CEA,HAL,Assistance HAL,JC,Gestionnaire,1,
